"","event_agediff","Estimate","lower","upper","disease_endpoint","model","N_total","N_male","N_female"
"3373",2.81526694676486,1.42005685027666,1.1654374007129,1.73030439625856,"Colon and rectum cancers","BMR",235839,107667,128172
"3374",2.8486841823744,1.41208387154871,1.15673963774768,1.72379401139097,"Colon and rectum cancers","BMR",235839,107667,128172
"3375",2.88210141798393,1.40423064454618,1.14810424846824,1.71749534566514,"Colon and rectum cancers","BMR",235839,107667,128172
"3376",2.91551865359347,1.39649410114174,1.13953208315782,1.71140049793014,"Colon and rectum cancers","BMR",235839,107667,128172
"3377",2.948935889203,1.38887128491763,1.13102394314356,1.7055018664834,"Colon and rectum cancers","BMR",235839,107667,128172
"3378",2.98235312481253,1.38135934552286,1.1225805760111,1.69979214164177,"Colon and rectum cancers","BMR",235839,107667,128172
"3379",3.01577036042207,1.37402817598414,1.11436018635372,1.69420394906233,"Colon and rectum cancers","BMR",235839,107667,128172
"3380",3.0491875960316,1.36695502056284,1.10653954141491,1.68865725833228,"Colon and rectum cancers","BMR",235839,107667,128172
"3381",3.08260483164114,1.36013187359674,1.09911101673689,1.6831409069723,"Colon and rectum cancers","BMR",235839,107667,128172
"3382",3.11602206725067,1.35355093320717,1.09206612836987,1.67764577729444,"Colon and rectum cancers","BMR",235839,107667,128172
"3383",3.14943930286021,1.34720469087073,1.08539590760813,1.67216447600555,"Colon and rectum cancers","BMR",235839,107667,128172
"3384",3.18285653846974,1.34108591843634,1.07909102850441,1.66669112532697,"Colon and rectum cancers","BMR",235839,107667,128172
"3385",3.21627377407928,1.33518765801975,1.0731419147172,1.66122118396435,"Colon and rectum cancers","BMR",235839,107667,128172
"3386",3.24969100968881,1.32950320998213,1.06753882512932,1.65575128861347,"Colon and rectum cancers","BMR",235839,107667,128172
"3387",3.28310824529834,1.32402612216607,1.0622719238315,1.65027911672095,"Colon and rectum cancers","BMR",235839,107667,128172
"3388",3.31652548090788,1.31875018069535,1.05733133754212,1.64480326775025,"Colon and rectum cancers","BMR",235839,107667,128172
"3389",3.34994271651741,1.31366939914157,1.05270719913165,1.63932315810558,"Colon and rectum cancers","BMR",235839,107667,128172
"3390",3.38335995212695,1.30877801012502,1.0483896835848,1.63383893089239,"Colon and rectum cancers","BMR",235839,107667,128172
"3391",3.41677718773648,1.30407045560256,1.04436903378102,1.6283513759678,"Colon and rectum cancers","BMR",235839,107667,128172
"3392",3.45019442334602,1.29954137925663,1.04063558110871,1.62286186159515,"Colon and rectum cancers","BMR",235839,107667,128172
"3393",3.48361165895555,1.29518561745937,1.03717975807368,1.61737227381798,"Colon and rectum cancers","BMR",235839,107667,128172
"3394",3.51702889456509,1.29099819173313,1.03399210748051,1.61188496411189,"Colon and rectum cancers","BMR",235839,107667,128172
"3395",3.55044613017462,1.28697430170993,1.03106328710656,1.60640270483279,"Colon and rectum cancers","BMR",235839,107667,128172
"3396",3.58386336578415,1.28310931757794,1.02838407048122,1.6009286492399,"Colon and rectum cancers","BMR",235839,107667,128172
"3397",3.61728060139369,1.27939877307652,1.02594534417868,1.59546629831446,"Colon and rectum cancers","BMR",235839,107667,128172
"3398",3.65069783700322,1.27583835953755,1.02373810416825,1.59001947181595,"Colon and rectum cancers","BMR",235839,107667,128172
"3399",3.68411507261276,1.27242391880399,1.02175344780825,1.58459228360573,"Colon and rectum cancers","BMR",235839,107667,128172
"3400",3.71753230822229,1.26915143835397,1.01998256653818,1.57918912177374,"Colon and rectum cancers","BMR",235839,107667,128172
"3401",3.75094954383183,1.26601704435799,1.01841673448055,1.57381463043462,"Colon and rectum cancers","BMR",235839,107667,128172
"3402",3.78436677944136,1.26301744661862,1.01704767804387,1.56847422682402,"Colon and rectum cancers","BMR",235839,107667,128172
"3403",3.8177840150509,1.26015747192555,1.01587387942479,1.56318307440775,"Colon and rectum cancers","BMR",235839,107667,128172
"3404",3.85120125066043,1.25743643493554,1.01488896121711,1.55795012885666,"Colon and rectum cancers","BMR",235839,107667,128172
"3405",3.88461848626997,1.25485045919977,1.01408376546463,1.55278067609376,"Colon and rectum cancers","BMR",235839,107667,128172
"3406",3.9180357218795,1.25239579360773,1.01344916938788,1.54768021053657,"Colon and rectum cancers","BMR",235839,107667,128172
"3407",3.95145295748903,1.25006880872675,1.01297607294112,1.54265443014304,"Colon and rectum cancers","BMR",235839,107667,128172
"3408",3.98487019309857,1.24786599186014,1.01265538522594,1.53770923095784,"Colon and rectum cancers","BMR",235839,107667,128172
"3409",4.0182874287081,1.245783944175,1.01247801290403,1.53285070469112,"Colon and rectum cancers","BMR",235839,107667,128172
"3410",4.05170466431764,1.24381937512066,1.01243484584799,1.52808513483131,"Colon and rectum cancers","BMR",235839,107667,128172
"3411",4.08512189992717,1.24196909995186,1.01251674707869,1.52341899498021,"Colon and rectum cancers","BMR",235839,107667,128172
"3412",4.11853913553671,1.24023003563951,1.01271454078247,1.51885894727444,"Colon and rectum cancers","BMR",235839,107667,128172
"3413",4.15195637114624,1.23859919666481,1.01301900210474,1.51441183905856,"Colon and rectum cancers","BMR",235839,107667,128172
"3414",4.18537360675578,1.23707369309476,1.01342085023829,1.51008470152087,"Colon and rectum cancers","BMR",235839,107667,128172
"3415",4.21879084236531,1.23565072583997,1.01391073979635,1.50588474541212,"Colon and rectum cancers","BMR",235839,107667,128172
"3416",4.25220807797484,1.2343275844956,1.0144792575099,1.50181935664846,"Colon and rectum cancers","BMR",235839,107667,128172
"3417",4.28562531358438,1.2331016435864,1.01511691891586,1.49789608968334,"Colon and rectum cancers","BMR",235839,107667,128172
"3418",4.31904254919391,1.23197036020879,1.01581416946773,1.49412265949022,"Colon and rectum cancers","BMR",235839,107667,128172
"3419",4.35245978480345,1.23093127077445,1.0165613876828,1.49050693025455,"Colon and rectum cancers","BMR",235839,107667,128172
"3420",4.38587702041298,1.22998198865783,1.01734889258964,1.48705690195596,"Colon and rectum cancers","BMR",235839,107667,128172
"3421",4.41929425602252,1.22912020138515,1.01816695463674,1.48378069291403,"Colon and rectum cancers","BMR",235839,107667,128172
"3422",4.45271149163205,1.22834366776546,1.01900581038463,1.48068651892179,"Colon and rectum cancers","BMR",235839,107667,128172
"3423",4.48612872724159,1.2276502161302,1.01985568332874,1.47778266847068,"Colon and rectum cancers","BMR",235839,107667,128172
"3424",4.51954596285112,1.22703774199103,1.02070680812592,1.47507747404453,"Colon and rectum cancers","BMR",235839,107667,128172
"3425",4.55296319846066,1.22650420445214,1.02154945917512,1.47257927653691,"Colon and rectum cancers","BMR",235839,107667,128172
"3426",4.58638043407019,1.2260476259618,1.0223739866925,1.47029638927881,"Colon and rectum cancers","BMR",235839,107667,128172
"3427",4.61979766967972,1.22566608884353,1.02317085509698,1.46823705333027,"Colon and rectum cancers","BMR",235839,107667,128172
"3428",4.65321490528926,1.22535773370649,1.02393068722787,1.46640939106863,"Colon and rectum cancers","BMR",235839,107667,128172
"3429",4.68663214089879,1.22512075735565,1.0246443125003,1.46482135487699,"Colon and rectum cancers","BMR",235839,107667,128172
"3430",4.72004937650833,1.22495341149902,1.02530281928669,1.46348067333609,"Colon and rectum cancers","BMR",235839,107667,128172
"3431",4.75346661211786,1.22485400027316,1.02589760865486,1.46239479391349,"Colon and rectum cancers","BMR",235839,107667,128172
"3432",4.7868838477274,1.22482087841269,1.02642045061398,1.46157082441045,"Colon and rectum cancers","BMR",235839,107667,128172
"3433",4.82030108333693,1.22485245025676,1.02686354107111,1.46101547566397,"Colon and rectum cancers","BMR",235839,107667,128172
"3434",4.85371831894647,1.2249471674978,1.02721955745362,1.46073500282693,"Colon and rectum cancers","BMR",235839,107667,128172
"3435",4.887135554556,1.22510352794813,1.02748171193096,1.46073515154866,"Colon and rectum cancers","BMR",235839,107667,128172
"3436",4.92055279016553,1.22532007370125,1.02764380099572,1.46102110630208,"Colon and rectum cancers","BMR",235839,107667,128172
"3437",4.95397002577507,1.22559539022403,1.02770025019177,1.46159744561519,"Colon and rectum cancers","BMR",235839,107667,128172
"3438",4.9873872613846,1.2259281045253,1.02764615114404,1.4624681032395,"Colon and rectum cancers","BMR",235839,107667,128172
"3439",5.02080449699414,1.22631688373469,1.02747729144018,1.46363633713486,"Colon and rectum cancers","BMR",235839,107667,128172
