cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,6,0.2842726941462402,0.19786307874950143,0.04443875154558671,0.11076472620222783,0.28496143129677504,22743,45,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,7,0.3825044975768578,0.3561535417491047,0.05957354220859618,0.23939154458877945,0.47291553890942994,22743,81,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,8,0.5368717485482227,0.47926834630435294,0.06906463190202744,0.34390415517086315,0.6146325374378427,22743,109,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,9,0.836208843590103,0.8925823330255498,0.09405605768267339,0.7082358474396881,1.0769288186114114,22743,203,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Type 2 diabetes,Age + sex + biomarkers,10,2.4892959738443476,2.928373565492658,0.16860441401040244,2.597914986397789,3.2588321445875272,22743,666,227431,1205,0.5141596764663148,0.529831025673707,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,1,0.05923332177752749,0.038724667613268905,0.019675196889224124,1.619903216551269e-4,0.07728734490488268,23241,9,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,2,0.10441165187018646,0.094660298610214,0.030753009965816182,0.034385506661012935,0.15493509055941507,23241,22,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,3,0.14927469896700168,0.10756852114797097,0.032780700861242205,0.04331952807195513,0.1718175142239868,23241,25,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,4,0.19829213991945685,0.12908222537756062,0.03590559152993056,0.058708559135290314,0.1994558916198309,23241,30,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,5,0.25576124862525423,0.17641237468267842,0.04196531173789793,0.09416187507640252,0.25866287428895435,23241,41,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,6,0.3277395815437509,0.33561378598166447,0.05783613166477045,0.22225705091359782,0.4489705210497311,23241,78,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,7,0.42393791813725684,0.41308089500860484,0.06413986581321754,0.28736906804146667,0.538792721975743,23240,96,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,8,0.5592826971385219,0.5120481927710826,0.0713756387314192,0.37215451148395884,0.6519418740582064,23240,119,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,9,0.772737016750905,0.8347676419965429,0.09098543251300853,0.6564394711532465,1.0130958128398393,23240,194,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Myocardial infarction,Age + sex + biomarkers,10,1.386485605134882,1.6092943201376892,0.12583577286847908,1.3626607373487079,1.8559279029266706,23240,374,232406,988,0.4237093593138704,0.42511811226906465,3,243663,171929,415592
UK Biobank,Colon and rectum cancers,Age + sex + biomarkers,1,0.07084818210083897,0.06733156587972275,0.025940135341938786,0.01648983485542814,0.11817329690401736,23763,16,237625,690,0.30769321938887556,0.2903734876381269,3,243663,171929,415592
